x;n;nmx;nqx;lx;ndx;Lx;Tx;ex;npx
0;1;0,01643;0,01619;100000;1619;98543;7420905;74,21;1,000000000000000
1;4;0,00000;0,00000;98381;0;393524;7322362;74,43;1,000000000000000
5;5;0,00078;0,00389;98381;383;490948;6928838;70,43;0,997625003055313
10;5;0,00017;0,00085;97998;83;489782;6437890;65,69;0,998378870599573
15;5;0,00048;0,00240;97915;235;488988;5948108;60,75;0,997325087732214
20;5;0,00059;0,00295;97680;288;487680;5459120;55,89;0,996729412729659
25;5;0,00072;0,00359;97392;350;486085;4971440;51,05;0,994122427147515
30;5;0,00164;0,00817;97042;793;483228;4485355;46,22;0,989191437582259
35;5;0,00271;0,01346;96249;1296;478005;4002127;41,58;0,984874635202561
40;5;0,00339;0,01681;94953;1596;470775;3524122;37,11;0,978029844405502
45;5;0,00552;0,02722;93357;2541;460432;3053347;32,71;0,967504430621677
50;5;0,00773;0,03792;90816;3444;445470;2592915;28,55;0,954194446315128
55;5;0,01110;0,05400;87372;4718;425065;2147445;24,58;0,944274405090986
60;5;0,01185;0,05755;82654;4757;401378;1722380;20,84;0,910737509280529
65;5;0,02619;0,12290;77897;9574;365550;1321002;16,96;0,863602790315962
70;5;0,03285;0,15178;68323;10370;315690;955452;13,98;0,811919921441921
75;5;0,05220;0,23087;57953;13380;256315;639762;11,04;NA
80;5;0,11624;1,00000;44573;44573;383447;383447;8,60;NA
